rep,trial,column,sigma
40,3,peak_05,0.4861569354848536
40,3,peak_06,0.49389847349616334
40,3,peak_07,0.5081233179622544
40,3,peak_08,0.5317432027834299
40,3,peak_09,0.5379443009816746
40,3,peak_10,0.5562176366543401
40,3,peak_11,0.5517851543385496
40,3,peak_12,0.5658504328723776
40,3,peak_13,0.5665385797580292
40,3,peak_14,0.5383842913117833
40,3,peak_15,0.5197285966948318
40,3,peak_16,0.505164934891355
40,3,delta_f_mhz_b01,0.06227206176664272
40,3,delta_f_mhz_b02,0.04023844392306859
40,3,delta_f_mhz_b03,0.14565948883835517
40,3,delta_f_mhz_b04,0.17101633088651724
40,3,delta_f_mhz_b05,0.15549509188073207
40,3,delta_f_mhz_b06,0.18366021289764495
40,3,delta_f_mhz_b07,0.04764123338545593
40,3,delta_f_mhz_b08,0.0698399721108956
40,3,delta_Bx_uT,1.4026836204042923
40,3,delta_By_uT,4.871142301088672
40,3,delta_Bz_uT,1.4076957784523016
40,3,delta_B_mag_uT,3.208310652157095
50,1,peak_01,0.5537080092527307
50,1,peak_02,0.5552131804521738
50,1,peak_03,0.5592580925751097
50,1,peak_04,0.5378797485935222
50,1,peak_05,0.5372510215072395
50,1,peak_06,0.5370414665099101
50,1,peak_07,0.5571048965487699
50,1,peak_08,0.5830473441405979
50,1,peak_09,0.5840285038659799
50,1,peak_10,0.5812716078568769
50,1,peak_11,0.5662803047254137
50,1,peak_12,0.5473540933068729
50,1,peak_13,0.5480851824004829
50,1,peak_14,0.5570521128306196
50,1,peak_15,0.5619825397291468
50,1,peak_16,0.5567895874473636
50,1,delta_f_mhz_b01,0.06502824828179761
50,1,delta_f_mhz_b02,0.044238852305012226
50,1,delta_f_mhz_b03,0.15433263859403828
50,1,delta_f_mhz_b04,0.17897033375917176
50,1,delta_f_mhz_b05,0.1344224946014385
50,1,delta_f_mhz_b06,0.18689150400221585
50,1,delta_f_mhz_b07,0.05612489301197839
50,1,delta_f_mhz_b08,0.06371558729119879
50,1,delta_Bx_uT,1.4885832923247426
50,1,delta_By_uT,5.588501163490895
50,1,delta_Bz_uT,1.5464185243976187
50,1,delta_B_mag_uT,4.03669955989057
50,2,peak_01,0.7681987191629011
50,2,peak_02,0.7721690675290603
50,2,peak_03,0.7656781472210896
50,2,peak_04,0.7556797011260461
50,2,peak_05,0.7499416257755732
50,2,peak_06,0.7751948373800845
50,2,peak_07,0.7706158793588156
50,2,peak_08,0.7743383731323522
50,2,peak_09,0.7808726421333195
50,2,peak_10,0.7775348465818502
50,2,peak_11,0.7935419230076133
50,2,peak_12,0.781967394145955
50,2,peak_13,0.7485515894316268
50,2,peak_14,0.7277622144985991
50,2,peak_15,0.7259171701576494
50,2,peak_16,0.7433152600823871
50,2,delta_f_mhz_b01,0.06951273545906077
50,2,delta_f_mhz_b02,0.04508853895662372
50,2,delta_f_mhz_b03,0.17052002352963144
50,2,delta_f_mhz_b04,0.15454299975666877
50,2,delta_f_mhz_b05,0.13528790249133746
50,2,delta_f_mhz_b06,0.19269651949668828
50,2,delta_f_mhz_b07,0.04808183218448096
50,2,delta_f_mhz_b08,0.07585205642233747
50,2,delta_Bx_uT,1.5594327392408107
50,2,delta_By_uT,4.736049596979275
50,2,delta_Bz_uT,1.5402531416240248
50,2,delta_B_mag_uT,3.049518139397225
50,3,peak_01,0.7193525710484927
50,3,peak_02,0.7061246066554544
50,3,peak_03,0.7109076315915535
50,3,peak_04,0.7151939328886091
50,3,peak_05,0.7292980168972614
50,3,peak_06,0.7054577375390134
50,3,peak_07,0.6884138444922108
50,3,peak_08,0.6951215470638158
50,3,peak_09,0.6869059821376454
50,3,peak_10,0.6789666887577447
50,3,peak_11,0.6950643419403211
50,3,peak_12,0.6955345238421947
50,3,peak_13,0.7080393790053959
50,3,peak_14,0.7282196209667926
50,3,peak_15,0.7208054235285631
50,3,peak_16,0.7250311141627026
50,3,delta_f_mhz_b01,0.06374086127187299
50,3,delta_f_mhz_b02,0.04499565290107439
50,3,delta_f_mhz_b03,0.1431325728936187
50,3,delta_f_mhz_b04,0.1524833391113567
50,3,delta_f_mhz_b05,0.1289357991294601
50,3,delta_f_mhz_b06,0.18397696055473384
50,3,delta_f_mhz_b07,0.05295637439218941
50,3,delta_f_mhz_b08,0.06765903038736526
50,3,delta_Bx_uT,1.4980501647905122
50,3,delta_By_uT,4.733633947068209
50,3,delta_Bz_uT,1.5058523763028866
50,3,delta_B_mag_uT,3.6806726912366536
60,1,peak_01,0.802901283693179
60,1,peak_02,0.8001027101651585
60,1,peak_03,0.8089479738349674
60,1,peak_04,0.7949658855903691
60,1,peak_05,0.7810932410199085
60,1,peak_06,0.7822836422607404
60,1,peak_07,0.7682670595933845
60,1,peak_08,0.7775943085490467
60,1,peak_09,0.7880220839271715
60,1,peak_10,0.7870157315017982
60,1,peak_11,0.7837859298535291
60,1,peak_12,0.8151462880341529
60,1,peak_13,0.8109250018410347
60,1,peak_14,0.7926477184774801
60,1,peak_15,0.7951505066374139
60,1,peak_16,0.7841059362254889
60,1,delta_f_mhz_b01,0.063616793781052
60,1,delta_f_mhz_b02,0.04489953435562742
60,1,delta_f_mhz_b03,0.1511750367458516
60,1,delta_f_mhz_b04,0.17592829433539342
60,1,delta_f_mhz_b05,0.1469639709520908
60,1,delta_f_mhz_b06,0.18884022867345698
60,1,delta_f_mhz_b07,0.05266360748792632
