batch,time_s,timestamp_epoch_s,acq_seconds,peak_01,peak_01_freq_mhz,peak_01_raw,peak_01_spike_sig,peak_02,peak_02_freq_mhz,peak_02_raw,peak_02_spike_sig,z_minus,z_plus,lockin_signal,delta_f_mhz,peak_shift_kHz,f_new_mhz,B_shift_uT
1179,12.303783478913829,1785872557.391995,0.010140958009287715,-5272.116535745943,2806.913354404411,-5272.116535745943,False,-5280.523934040407,2813.913351734123,-5280.523934040407,False,-1.007204774603141,-1.0088109552796796,-0.0016061806765386155,0.1365580819292992,136.5580819292992,2810.6474994507857,4.872897585259035
1180,12.31378127046628,1785872557.401814,0.009779624990187585,-5265.574076168353,2806.913354404411,-5265.574076168353,False,-5267.658127273283,2813.913351734123,-5267.658127273283,False,-1.0059548787634875,-1.0063530236468887,-0.0003981448834011747,0.009762902085862711,9.762902085862711,2810.520704270942,0.3483764660955863
1181,12.324943165993318,1785872557.414311,0.012454750016331673,-5274.081877922793,2806.913354404411,-5274.081877922793,False,-5272.479535104074,2813.913351734123,-5272.479535104074,False,-1.0075802408908892,-1.0072741233522076,0.00030611753868159397,-0.06415633190723083,-64.15633190723084,2810.446785036949,-2.289335280731902
1182,12.336578457907308,1785872557.425091,0.010747166001237929,-5267.483045511507,2806.913354404411,-5267.483045511507,False,-5271.214856190972,2813.913351734123,-5271.214856190972,False,-1.0063195753751728,-1.0070325143834036,-0.0007129390082307729,0.042803626456920284,42.803626456920284,2810.5537449953135,1.5273917519597588
1183,12.347721999452915,1785872557.436627,0.011473582941107452,-5269.636103554728,2806.913354404411,-5269.636103554728,False,-5266.217067579545,2813.913351734123,-5266.217067579545,False,-1.0067309036010241,-1.0060777182369687,0.000653185364055453,-0.10058449702132703,-100.58449702132704,2810.410356871835,-3.58922698477473
1184,12.359065791475587,1785872557.447528,0.010636582970619202,-5267.926545832443,2806.913354404411,-5267.926545832443,False,-5269.375754195066,2813.913351734123,-5269.375754195066,False,-1.0064043033279324,-1.0066811654898995,-0.00027686216196709523,-0.002966906553495973,-2.966906553495973,2810.507974462303,-0.10587020245132647
1185,12.370056228945032,1785872557.458824,0.011254542041569948,-5270.393841122353,2806.913354404411,-5270.393841122353,False,-5271.737486627746,2813.913351734123,-5271.737486627746,False,-1.0068756646075065,-1.0071323596481474,-0.000256695040640853,-0.005083643317432535,-5.083643317432535,2810.505857725539,-0.18140320144991917
1186,12.380767103924882,1785872557.468964,0.010094541939906776,-5269.79520127151,2806.913354404411,-5269.79520127151,False,-5265.5115016658,2813.913351734123,-5265.5115016658,False,-1.0067612982212653,-1.005942924297513,0.0008183739237521692,-0.11792265310395926,-117.92265310395926,2810.3930187157525,-4.207916539536085
1187,12.391206395463087,1785872557.479678,0.010653875069692731,-5268.886438243115,2806.913354404411,-5268.886438243115,False,-5270.855598007152,2813.913351734123,-5270.855598007152,False,-1.0065876847483883,-1.0069638803622083,-0.0003761956138199629,0.007459111420228698,7.459111420228698,2810.518400480277,0.2661686918437303
1188,12.40189149940852,1785872557.490345,0.01062133302912116,-5270.12390806003,2806.913354404411,-5270.12390806003,False,-5269.50094599138,2813.913351734123,-5269.50094599138,False,-1.0068240955901393,-1.00670508259684,0.00011901299329930559,-0.04451787862956991,-44.51787862956991,2810.466423490227,-1.5885626116746328
